"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:17:18,0175885","AdwereCleaner.exe","3984","CloseFile","C:\Windows\SysWOW64\version.dll","SUCCESS",""
"15:17:18,0176998","AdwereCleaner.exe","3984","CreateFile","C:\Windows\SysWOW64\version.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:18,0177985","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\SysWOW64\version.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:17:18,0178474","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\SysWOW64\version.dll","SUCCESS","SyncType: SyncTypeOther"
"15:17:18,0179641","AdwereCleaner.exe","3984","CloseFile","C:\Windows\SysWOW64\version.dll","SUCCESS",""
"15:17:18,0181390","AdwereCleaner.exe","3984","ReadFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_ec83dffa859149af\comctl32.dll","SUCCESS","Offset: 476.672, Length: 11.264, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"15:17:18,0246025","AdwereCleaner.exe","3984","CreateFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:18,0246726","AdwereCleaner.exe","3984","QueryBasicInformationFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS","CreationTime: 21/11/2010 05:24:25, LastAccessTime: 21/11/2010 05:24:25, LastWriteTime: 21/11/2010 05:24:25, ChangeTime: 17/01/2024 12:14:57, FileAttributes: A"
"15:17:18,0246803","AdwereCleaner.exe","3984","CloseFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS",""
"15:17:18,0247677","AdwereCleaner.exe","3984","CreateFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:18,0248402","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\SysWOW64\imm32.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:17:18,0248472","AdwereCleaner.exe","3984","QueryStandardInformationFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS","AllocationSize: 122.880, EndOfFile: 119.808, NumberOfLinks: 2, DeletePending: False, Directory: False"
"15:17:18,0248615","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\SysWOW64\imm32.dll","SUCCESS","SyncType: SyncTypeOther"
